Controller Output Text File 
File Created on: 23/05/2019 09:03 
controller version: 1.1.0 
time, dcm0_0, dcm0_1, dcm0_2, dcm1_0, dcm1_1, dcm1_2, dcm2_0, dcm2_1, dcm2_2, acc_norm_f, pqr_f.x, pqr_f.y, pqr_f.z, Xg.x, Xg.y, Xg.z, Vg.x, Vg.y, Vg.z, Vb.x, Vb.y, Vb.z, Ag.x, Ag.y, Ag.z, Ab_f.x, Ab_f.y, Ab_f.z, rho, sph_f.v, sph_f.alpha, sph_f.beta, tether_force_b.vector_f.x, tether_force_b.vector_f.y, tether_force_b.vector_f.z, wind_g.vector.x, wind_g.vector.y, wind_g.vector.z, flaps[0], flaps[1], flaps[2], flaps[3], flaps[4], flaps[5], flaps[6], flaps[7], rotors[0], rotors[1], rotors[2], rotors[3], rotors[4], rotors[5], rotors[6], rotors[7]
0.0000,-0.8610,0.2349,0.4511,0.1192,-0.7690,0.6280,0.4944,0.5945,0.6341,-0.4937,-1.8706,0.0594,25.0554,-125.4898,-378.4509,-171.1077,-54.4957,5.0564,28.4869,61.6086,0.2451,-3.3413,-22.2688,7.9269,8.3091,24.2267,-6.3874,0.2027,1.2250,56.0083,0.0743,-0.0518,2955.6114,-73347.4085,156962.0272,-7.6604,-6.4279,0.0000,0.0065,0.0065,0.0000,0.0000,-0.2065,-0.2065,-0.1745,0.3571,186.6254,177.7465,177.5150,177.2841,214.2466,221.7393,221.7393,221.7393
0.0100,-0.8512,0.2347,0.4695,0.1308,-0.7714,0.6228,0.5083,0.5915,0.6259,-0.1617,-2.7867,0.4219,2108.0916,-126.0263,-378.3973,-170.8088,-50.8850,7.1643,34.4725,61.7722,2.9225,2.1460,-1155.0202,-599.3519,-1658.5402,61.6101,-789.7762,-1953.5885,1.2250,56.9338,0.1720,-0.0042,-17710.1089,-79175.1179,226129.7690,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,-0.1745,0.0786,173.8201,171.8839,169.9632,168.0550,221.7391,221.7391,221.7407,221.7396
0.0200,-0.8314,0.2389,0.5017,0.1511,-0.7716,0.6179,0.5347,0.5895,0.6054,0.0736,-4.3948,-0.0193,1020.3396,-126.4858,-378.2762,-170.4062,-43.5635,17.6481,41.8448,61.2616,0.6429,14.3816,342.2555,-311.1850,909.4602,154.7511,858.0324,530.0239,1.2250,60.1637,0.3782,-0.0413,-29943.1491,-51864.0014,198121.0376,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,-0.1745,0.3834,149.7317,134.0339,134.2142,134.3940,211.9272,221.7391,221.7391,221.7391
0.0300,-0.8199,0.2379,0.5207,0.1667,-0.7709,0.6148,0.5476,0.5909,0.5924,0.1882,-0.4143,-0.1304,1807.9735,-126.9831,-378.1725,-170.0665,-55.2469,2.9569,27.8752,61.0576,1.0479,-10.4333,975.3333,1002.0980,1145.9898,-5.0839,136.6529,1802.7946,1.2250,55.9425,-0.0446,-0.0373,-45344.7339,-87117.3512,201264.0618,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.0177,0.3840,210.9934,180.0646,180.5133,180.9658,190.5331,221.7408,221.7391,221.7391
0.0400,-0.8238,0.2341,0.5162,0.1679,-0.7690,0.6167,0.5414,0.5948,0.5943,0.0391,1.3431,-0.7689,316.9691,-127.5604,-378.1473,-169.8241,-59.7035,1.1298,21.5983,61.0684,-1.9988,-17.2892,138.9190,240.5700,152.6336,8.5869,-61.7054,310.7863,1.2250,56.8514,-0.1663,-0.0907,-58320.9067,-86250.6080,192631.7432,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.2243,-0.3238,210.1080,211.3461,212.7790,214.3875,221.7409,221.7392,221.7392,221.7392
0.0500,-0.8308,0.2270,0.5081,0.1687,-0.7673,0.6188,0.5303,0.5998,0.5992,0.1058,0.2867,-1.1728,1691.0848,-128.1371,-378.1081,-169.5843,-54.8048,9.0351,26.9549,61.3532,-3.2078,-6.1038,-769.5828,-1252.0295,-836.6196,-15.4850,284.0757,-1666.9820,1.2250,56.4646,0.0315,-0.1136,-56869.1036,-63705.5769,157851.3807,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.2230,0.2643,221.7403,173.5545,177.7542,182.2066,170.2574,221.7392,221.7392,221.7391
0.0600,-0.8329,0.2196,0.5079,0.1754,-0.7658,0.6187,0.5249,0.6044,0.5994,-0.1160,0.3910,-0.5304,1196.3170,-128.6624,-378.0113,-169.2805,-52.4063,7.2372,31.4035,61.4023,1.9279,-3.3195,552.9261,896.7854,566.7656,-5.8117,-222.8364,1175.3657,1.2250,56.3481,0.0808,-0.0233,-47006.4724,-55072.6761,122767.5734,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.1644,-0.0576,201.4819,202.6259,203.8579,205.1691,221.7393,221.7391,221.7391,221.7392
0.0700,-0.8444,0.2106,0.4926,0.1710,-0.7655,0.6203,0.5078,0.6080,0.6103,-0.3624,3.0864,-1.4218,1246.4935,-129.2371,-377.9734,-169.0363,-61.5739,1.8240,18.1520,61.5191,-3.3296,-18.1243,617.0663,211.9911,1062.0899,54.5317,613.4427,1083.7252,1.2250,57.4826,-0.1825,-0.1157,-42486.4334,-44002.4980,106478.9610,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.2618,0.3326,221.7393,221.7391,186.9834,191.1211,184.8451,184.8100,221.7391,221.7396
0.0800,-0.8633,0.1972,0.4645,0.1597,-0.7665,0.6221,0.4787,0.6113,0.6302,-0.5150,3.4896,-1.0012,710.4428,-129.8568,-377.9694,-168.8627,-61.3506,-0.9210,18.1825,61.5233,-0.2778,-17.6112,-406.8099,-47.9734,-580.4595,65.6862,-398.2659,-584.6354,1.2250,56.9523,-0.1778,-0.0649,-45640.2934,-55113.0682,111840.6115,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.2618,-0.3810,219.7989,221.7391,221.7402,221.7391,220.1923,219.0575,220.1811,221.7391
0.0900,-0.8767,0.1872,0.4432,0.1511,-0.7675,0.6230,0.4568,0.6131,0.6445,-0.3479,1.6233,-1.0508,1059.2272,-130.4403,-377.9406,-168.6419,-55.8483,7.3798,25.1288,61.5531,-0.7113,-3.9570,-380.2845,-889.4457,-431.5465,1.8908,346.8552,-1000.8248,1.2250,56.0730,0.0616,-0.0752,-47007.7428,-50005.0808,120199.7294,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.2618,0.3050,221.7394,195.0479,186.3465,189.5520,182.4622,212.1649,221.7391,221.7392
