Controller Output Text File - Flex w/o Rot ICs
File Created on: 20/05/2019 14:27 
controller version: 1.1.0 
time, dcm0_0, dcm0_1, dcm0_2, dcm1_0, dcm1_1, dcm1_2, dcm2_0, dcm2_1, dcm2_2, acc_norm_f, pqr_f.x, pqr_f.y, pqr_f.z, Xg.x, Xg.y, Xg.z, Vg.x, Vg.y, Vg.z, Vb.x, Vb.y, Vb.z, Ag.x, Ag.y, Ag.z, Ab_f.x, Ab_f.y, Ab_f.z, rho, sph_f.v, sph_f.alpha, sph_f.beta, tether_force_b.vector_f.x, tether_force_b.vector_f.y, tether_force_b.vector_f.z, wind_g.vector.x, wind_g.vector.y, wind_g.vector.z, flaps[0], flaps[1], flaps[2], flaps[3], flaps[4], flaps[5], flaps[6], flaps[7], rotors[0], rotors[1], rotors[2], rotors[3], rotors[4], rotors[5], rotors[6], rotors[7]
0.0000,-0.8610,0.1192,0.4944,0.2349,-0.7690,0.5945,0.4511,0.6280,0.6341,0.0154,-0.0032,-0.0129,0.0019,-125.4898,-378.4509,-171.1077,-54.4957,5.0564,28.4869,61.6086,0.2451,-3.3413,0.0003,-0.0007,-0.0017,-0.0012,-0.0003,-0.0014,1.2250,56.0083,0.0311,-0.0621,2805.7652,-60268.6961,152862.8604,-7.6604,-6.4279,0.0000,-0.2393,-0.2393,0.0000,0.0000,0.0393,0.0393,0.1588,0.3730,206.3966,193.5347,193.5701,193.6055,209.3777,221.7398,221.7395,221.7392
0.0100,-0.8607,0.1189,0.4950,0.2361,-0.7682,0.5951,0.4510,0.6291,0.6332,0.3250,-0.1936,0.3021,735.4825,-126.0328,-378.4042,-170.8183,-53.5701,3.9969,30.7214,61.7912,2.5622,-2.1944,238.5735,-485.0015,498.7892,-16.1064,725.7248,118.3155,1.2250,56.2155,0.0524,-0.1044,-19411.6344,-68888.7379,196497.9665,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1287,0.3840,219.0711,176.5614,175.4585,174.3751,176.0460,221.7391,221.7392,221.7391
0.0200,-0.8598,0.1164,0.4972,0.2406,-0.7665,0.5955,0.4504,0.6317,0.6310,0.0779,-0.1021,-0.0735,842.6362,-126.5702,-378.3772,-170.5147,-54.1719,4.9262,29.2741,61.7052,0.6213,-2.8137,-229.4020,548.6427,-596.9938,-35.7444,-831.2330,-133.4531,1.2250,56.1177,0.0377,-0.0781,-41415.0926,-48471.1305,199345.7476,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0391,-0.0659,198.8590,199.0458,199.2342,199.4241,221.7400,221.7392,221.7391,221.7391
0.0300,-0.8603,0.1182,0.4959,0.2383,-0.7667,0.5961,0.4507,0.6310,0.6315,-0.0194,-0.0232,-0.1808,105.8337,-127.1152,-378.3274,-170.2295,-54.2717,4.4233,29.0295,61.6084,0.9780,-3.3385,-18.1863,73.5839,-73.8610,-12.2913,-104.7808,-8.4066,1.2250,55.9738,0.0302,-0.0803,-54525.0812,-96430.9762,177235.2879,-7.6604,-6.4279,0.0000,0.0018,0.0018,0.0000,0.0000,-0.2018,-0.2018,0.0416,0.0648,199.3150,199.7592,200.2129,200.6763,221.7391,221.7391,221.7398,221.7391
0.0400,-0.8615,0.1224,0.4928,0.2335,-0.7664,0.5984,0.4510,0.6306,0.6317,-0.1817,-0.0078,-0.6996,75.2027,-127.6630,-378.2676,-169.9515,-54.9538,6.5349,27.3406,61.6154,-1.4765,-3.3902,28.9996,-40.9376,56.0230,-2.3831,71.6704,22.6522,1.2250,56.1444,0.0307,-0.0270,-76842.1041,-45160.6780,199072.4855,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1694,-0.0193,203.7095,192.0497,193.9943,196.0690,209.6291,221.7391,221.7391,221.7395
0.0500,-0.8633,0.1287,0.4879,0.2258,-0.7661,0.6017,0.4513,0.6297,0.6323,-0.0091,0.0044,-1.1262,318.7740,-128.2133,-378.1991,-169.6803,-55.4135,8.0571,26.1057,61.6155,-2.9784,-3.4261,-60.4580,253.7717,-183.1983,-4.5213,-318.3055,16.6733,1.2250,56.3176,0.0342,0.0143,-57763.0650,-97768.8595,130690.5371,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0420,-0.3840,195.6914,198.1605,201.0125,204.2026,221.7413,221.7391,221.7392,221.7391
0.0600,-0.8652,0.1353,0.4829,0.2176,-0.7663,0.6045,0.4518,0.6281,0.6335,-0.3626,-0.0104,-0.4786,251.7926,-128.7626,-378.1330,-169.4068,-54.3684,4.6661,28.8768,61.6134,2.0496,-3.3399,49.9061,-196.6132,149.1715,2.2639,251.7001,-6.4399,1.2250,56.0230,0.0437,-0.0593,-61389.3759,-51727.3689,130572.0504,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1798,0.3840,221.7391,168.2914,170.2077,172.1583,162.8612,221.7391,221.7391,221.7392
0.0700,-0.8669,0.1420,0.4778,0.2083,-0.7676,0.6061,0.4528,0.6250,0.6359,-0.4920,-0.0182,-1.3223,590.9430,-129.3117,-378.0673,-169.1332,-55.5433,8.9192,25.5115,61.6074,-2.9543,-3.3525,-111.7634,459.5935,-354.2546,-7.1084,-590.7910,11.3619,1.2250,56.3838,0.0470,0.0467,-63038.3821,-43175.3297,134764.9913,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0425,-0.3840,194.5549,197.4068,200.7893,204.6317,221.7391,221.7392,221.7392,221.7391
0.0800,-0.8692,0.1513,0.4707,0.1956,-0.7692,0.6084,0.4541,0.6209,0.6390,-0.4299,-0.0280,-0.9022,400.6109,-129.8655,-377.9823,-168.8743,-55.0131,7.2018,26.9153,61.5774,0.0782,-3.3104,79.6155,-309.1037,242.0855,-2.0316,400.6043,-1.0801,1.2250,56.1469,0.0571,0.0167,-35261.9949,-80258.9568,80496.9834,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1779,0.3840,221.7391,168.2209,171.8020,175.5001,163.4093,221.7391,221.7391,221.7402
0.0900,-0.8708,0.1580,0.4656,0.1869,-0.7694,0.6107,0.4548,0.6189,0.6404,-0.1794,-0.0228,-0.9828,375.3726,-130.4156,-377.9104,-168.6051,-55.2352,8.1231,26.1825,61.5713,-0.5854,-3.3252,-66.1092,291.3462,-227.2698,-2.2158,-375.3369,4.6814,1.2250,56.2193,0.0624,0.0447,-42750.4571,-18026.6739,107524.7685,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0517,-0.3840,195.7788,197.9922,200.4948,203.2560,221.7405,221.7391,221.7392,221.7407
0.1000,-0.8722,0.1644,0.4608,0.1793,-0.7689,0.6137,0.4552,0.6179,0.6411,0.0055,-0.0085,-0.4527,425.6210,-130.9667,-377.8341,-168.3395,-54.7819,6.1785,27.6864,61.5515,2.4160,-3.3671,73.0461,-330.9994,257.4042,0.4988,425.5749,-6.2459,1.2250,56.0882,0.0673,0.0059,-31625.2551,-58911.0884,95089.0383,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1854,0.3840,221.3573,172.4672,174.1663,175.9018,168.2290,221.7391,221.7391,221.7392
0.1100,-0.8729,0.1674,0.4584,0.1762,-0.7679,0.6159,0.4551,0.6183,0.6408,0.0415,0.0046,-0.5389,464.6957,-131.5150,-377.7715,-168.0635,-55.1052,7.4124,26.6731,61.5658,1.0285,-3.4025,-81.2595,358.5134,-284.2659,0.6433,-464.6882,2.5477,1.2250,56.1606,0.0690,0.0370,-27440.2410,-50686.2613,102797.0174,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0615,-0.2495,197.6458,198.9199,200.2805,201.7203,221.7393,221.7391,221.7391,221.7393
0.1200,-0.8737,0.1710,0.4554,0.1725,-0.7665,0.6187,0.4548,0.6191,0.6402,0.2309,0.0126,-0.2283,341.9415,-132.0664,-377.6964,-167.7976,-54.9465,6.6413,27.2612,61.5577,2.2999,-3.4275,57.8621,-263.2697,210.3927,0.2367,341.9357,-1.9872,1.2250,56.1244,0.0714,0.0218,-33512.7953,-22576.3697,169114.2815,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1911,0.3840,220.3353,175.2231,176.0510,176.8847,172.8425,221.7391,221.7391,221.7391
0.1300,-0.8739,0.1716,0.4547,0.1731,-0.7643,0.6212,0.4542,0.6216,0.6383,0.3470,0.0131,-0.1214,236.3172,-132.6151,-377.6336,-167.5220,-54.9824,6.7508,27.1924,61.5750,2.2137,-3.4187,-39.1245,184.3549,-142.5776,0.9993,-236.2435,5.8182,1.2250,56.1469,0.0717,0.0230,-16076.9958,-85349.4102,139862.2762,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.4949,-0.4949,0.0679,0.2903,204.1902,194.7581,195.0857,195.4174,212.5957,221.7399,221.7407,221.7391
0.1400,-0.8740,0.1717,0.4545,0.1745,-0.7621,0.6235,0.4534,0.6243,0.6361,0.3754,0.0120,0.1688,212.0239,-133.1644,-377.5682,-167.2482,-54.7590,5.7948,27.9901,61.5779,3.4827,-3.4072,36.9917,-161.6084,132.1684,-0.0201,212.0239,-0.0344,1.2250,56.1348,0.0717,-0.0012,-7703.8706,-38931.7746,177095.3226,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1978,0.3840,221.5465,175.4985,174.8839,174.2748,171.1279,221.7391,221.7410,221.7391
0.1500,-0.8738,0.1706,0.4553,0.1773,-0.7602,0.6250,0.4528,0.6269,0.6341,0.2822,0.0075,-0.0168,312.1472,-133.7127,-377.5077,-166.9703,-55.0349,6.9849,27.0396,61.5945,1.8353,-3.3937,-52.7790,241.3020,-190.8496,0.3894,-312.0822,6.3592,1.2250,56.1728,0.0705,0.0236,5990.2536,-55723.7448,189390.5200,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0468,-0.0208,199.4879,199.5303,199.5728,199.6153,221.7391,221.7392,221.7394,221.7399
0.1600,-0.8739,0.1707,0.4552,0.1781,-0.7588,0.6265,0.4523,0.6285,0.6327,0.1779,-0.0002,0.0759,141.7574,-134.2630,-377.4375,-166.7000,-54.9259,6.6020,27.3953,61.5957,2.3683,-3.3622,25.4090,-107.2190,89.1831,0.0941,141.7564,0.5298,1.2250,56.1632,0.0709,0.0131,16524.2181,-85069.7741,164496.2633,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1985,0.3840,210.6341,187.4764,187.2470,187.0191,198.9267,221.7403,221.7392,221.7391
0.1700,-0.8738,0.1706,0.4553,0.1788,-0.7581,0.6272,0.4521,0.6295,0.6319,0.0572,-0.0071,-0.1536,236.6876,-134.8128,-377.3693,-166.4277,-55.1580,7.6074,26.5927,61.6049,1.0464,-3.3460,-39.8261,183.0465,-144.6682,0.1477,-236.6167,5.7917,1.2250,56.2155,0.0709,0.0356,31858.4151,-42360.8965,199536.3832,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0337,-0.0624,198.7453,199.1285,199.5186,199.9154,221.7391,221.7394,221.7391,221.7391
0.1800,-0.8741,0.1718,0.4544,0.1775,-0.7578,0.6279,0.4522,0.6295,0.6318,-0.0227,-0.0138,-0.1199,75.7327,-135.3641,-377.2940,-166.1610,-55.0507,7.2135,26.9535,61.6052,1.6881,-3.3243,13.1854,-57.1602,47.8989,0.4192,75.7312,0.2452,1.2250,56.1998,0.0724,0.0269,34610.6821,-86096.6557,169326.8457,-7.6604,-6.4279,0.0000,-0.3268,-0.3268,0.0000,0.0000,0.1268,0.1268,0.1778,0.2460,204.7904,192.2594,192.5957,192.9362,209.6336,221.7392,221.7391,221.7391
0.1900,-0.8744,0.1738,0.4529,0.1748,-0.7579,0.6285,0.4525,0.6287,0.6324,-0.1774,-0.0175,-0.4781,261.3850,-135.9158,-377.2169,-165.8955,-55.3887,8.6943,25.7534,61.6097,-0.0883,-3.3126,-42.7520,201.3441,-161.1053,-0.5810,-261.3292,5.3664,1.2250,56.3019,0.0743,0.0634,38009.6363,-66727.1834,162130.9394,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0277,-0.3362,197.2535,198.4083,199.6305,200.9148,221.7392,221.7391,221.7391,221.7393
0.2000,-0.8752,0.1777,0.4499,0.1695,-0.7584,0.6294,0.4531,0.6271,0.6336,-0.2193,-0.0208,-0.4800,67.0713,-136.4696,-377.1301,-165.6377,-55.3197,8.4539,25.9737,61.6047,0.5582,-3.3045,11.3999,-51.1100,41.9090,-0.2065,67.0702,-0.3310,1.2250,56.2806,0.0781,0.0617,41004.7772,-58628.4809,165517.4099,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1293,0.1553,207.5601,187.4406,188.8818,190.3751,201.6162,221.7391,221.7391,221.7393
0.2100,-0.8761,0.1822,0.4464,0.1634,-0.7589,0.6304,0.4537,0.6252,0.6351,-0.2715,-0.0234,-0.7437,187.9918,-137.0235,-377.0421,-165.3808,-55.5565,9.5840,25.0551,61.6031,-0.5564,-3.3000,-27.0736,145.3046,-116.1659,-1.6657,-187.9235,4.7861,1.2250,56.3753,0.0825,0.0926,35050.5946,-71938.7346,145454.8462,-7.6604,-6.4279,0.0000,0.0062,0.0062,0.0000,0.0000,-0.2062,-0.2062,0.0243,-0.2537,196.0535,197.8031,199.7149,201.7757,221.7394,221.7391,221.7391,221.7398
0.2200,-0.8771,0.1878,0.4421,0.1560,-0.7592,0.6319,0.4543,0.6232,0.6366,-0.2201,-0.0249,-0.6581,70.3881,-137.5786,-376.9479,-165.1288,-55.4419,9.1326,25.4429,61.5908,0.4964,-3.2986,11.2097,-54.2073,43.4787,-0.7889,70.3764,-1.0125,1.2250,56.3253,0.0875,0.0876,32926.4145,-55110.4217,148991.3916,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1705,0.0390,205.2990,188.2132,190.1577,192.2108,204.5293,221.7391,221.7391,221.7395
