Controller Output Text File 
File Created on: 21/05/2019 15:28 
controller version: 1.1.0 
time, dcm0_0, dcm0_1, dcm0_2, dcm1_0, dcm1_1, dcm1_2, dcm2_0, dcm2_1, dcm2_2, acc_norm_f, pqr_f.x, pqr_f.y, pqr_f.z, Xg.x, Xg.y, Xg.z, Vg.x, Vg.y, Vg.z, Vb.x, Vb.y, Vb.z, Ag.x, Ag.y, Ag.z, Ab_f.x, Ab_f.y, Ab_f.z, rho, sph_f.v, sph_f.alpha, sph_f.beta, tether_force_b.vector_f.x, tether_force_b.vector_f.y, tether_force_b.vector_f.z, wind_g.vector.x, wind_g.vector.y, wind_g.vector.z, flaps[0], flaps[1], flaps[2], flaps[3], flaps[4], flaps[5], flaps[6], flaps[7], rotors[0], rotors[1], rotors[2], rotors[3], rotors[4], rotors[5], rotors[6], rotors[7]
0.0000,-0.8610,0.1192,0.4944,0.2349,-0.7690,0.5945,0.4511,0.6280,0.6341,0.1850,0.2520,0.2493,0.9806,-125.4898,-378.4509,-171.1077,-54.4957,5.0564,28.4869,61.6086,0.2451,-3.3413,0.9682,-0.1513,-0.0358,-0.8694,0.3225,0.3190,1.2250,56.0083,0.0311,-0.0621,2783.5047,-60600.9580,147563.7054,-7.6604,-6.4279,0.0000,-0.2316,-0.2316,0.0000,0.0000,0.0316,0.0316,0.2147,0.3840,208.9848,196.8255,196.1822,195.5572,210.3912,221.7397,221.7391,221.7392
0.0100,-0.8613,0.1148,0.4950,0.2398,-0.7670,0.5951,0.4480,0.6313,0.6331,0.6349,0.1774,0.7791,1285.2989,-126.0329,-378.4077,-170.8176,-53.5304,2.2600,31.1804,61.7981,3.9878,-2.8138,255.1937,-1073.3920,659.3171,-16.6841,1276.8873,-145.8553,1.2250,56.1404,0.0397,-0.1385,-22964.8629,-82500.7372,225070.1875,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.2018,0.3840,219.9932,184.0495,181.5596,179.2169,184.0977,221.7391,221.7391,221.7399
0.0200,-0.8615,0.1049,0.4968,0.2501,-0.7639,0.5949,0.4419,0.6368,0.6319,0.2928,0.5089,0.1193,1447.9053,-126.5748,-378.4115,-170.5154,-55.4227,2.8403,27.5359,61.7246,0.3517,-5.2832,-362.3767,1056.4280,-921.4515,-34.7984,-1445.8116,-69.6240,1.2250,55.9049,-0.0147,-0.0976,-47083.4805,-65962.5084,211918.8798,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.1357,-0.2456,200.2478,199.9573,199.6711,209.9738,221.7391,221.7391,221.7391,211.5121
0.0300,-0.8631,0.1035,0.4944,0.2492,-0.7641,0.5950,0.4393,0.6367,0.6337,-0.0548,0.0222,0.1248,280.8093,-127.1250,-378.3715,-170.2372,-53.7549,3.4219,30.1268,61.6421,1.9144,-2.3480,151.6625,78.4242,222.9394,-12.5565,110.5278,257.8368,1.2250,55.9405,0.0390,-0.1234,-65533.6097,-78447.2386,201354.0089,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1785,0.3840,221.7391,175.1520,174.6976,174.2462,170.4701,221.7392,221.7391,221.7391
0.0400,-0.8637,0.1078,0.4924,0.2448,-0.7642,0.5967,0.4406,0.6358,0.6337,-0.3091,-0.2440,-0.8821,151.1486,-127.6681,-378.3082,-169.9515,-54.6028,8.2992,27.6282,61.6576,-3.2216,-1.2752,3.1262,146.9814,-35.1082,-4.1387,-132.5131,72.5881,1.2250,56.4251,0.0564,-0.0222,-71329.1975,-77092.7817,178282.5253,-7.6604,-6.4279,0.0000,-0.1879,-0.1879,0.0000,0.0000,-0.0121,-0.0121,0.0307,-0.1053,199.8579,190.5003,193.0543,195.8026,211.5798,221.7391,221.7392,221.7409
0.0500,-0.8654,0.1171,0.4873,0.2344,-0.7648,0.6001,0.4429,0.6335,0.6344,-0.1351,-0.0716,-1.3752,280.6545,-128.2176,-378.2259,-169.6814,-55.7074,8.7098,25.4976,61.6513,-4.4202,-2.9800,-132.0804,-13.5048,-247.2637,-7.7653,-169.0152,-223.9208,1.2250,56.4605,0.0327,0.0186,-65850.5875,-61320.2796,146994.8389,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0255,-0.3840,191.6384,194.7461,198.4141,206.4538,221.7391,221.7392,221.7393,217.6779
0.0600,-0.8674,0.1247,0.4817,0.2246,-0.7658,0.6026,0.4440,0.6309,0.6362,-0.5405,-0.0801,-0.5666,183.0191,-128.7695,-378.1648,-169.4108,-54.4972,3.9032,28.8710,61.6658,2.1685,-3.3680,84.9119,-0.1807,162.1294,4.4295,116.9155,140.7379,1.2250,55.9817,0.0364,-0.0798,-57437.1033,-56174.3902,121363.5796,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.1618,0.3840,220.9014,171.5106,173.6692,175.8765,167.8867,221.7391,221.7391,221.7393
0.0700,-0.8688,0.1355,0.4763,0.2114,-0.7683,0.6042,0.4478,0.6255,0.6389,-0.7895,-0.4336,-1.7890,627.9203,-129.3179,-378.0881,-169.1385,-55.2101,11.2337,25.5052,61.6358,-4.8909,-1.4035,-40.4115,566.3647,-268.1079,-15.8268,-605.6737,164.9023,1.2250,56.7751,0.0763,0.0716,-50754.7130,-48535.4553,109344.4947,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,-0.0276,-0.3840,187.6893,191.8580,196.9475,202.8026,221.7391,221.7391,221.7402,221.7391
0.0800,-0.8698,0.1507,0.4698,0.1940,-0.7710,0.6066,0.4536,0.6187,0.6414,-0.6509,-0.4885,-1.2635,401.2543,-129.8660,-377.9825,-168.8752,-54.3827,9.1117,27.4644,61.5788,-0.9169,-1.4163,42.7624,-355.1805,181.7229,-5.3570,392.3676,-83.8093,1.2250,56.3803,0.0905,0.0360,-48659.1816,-58393.8488,114257.8674,-7.6604,-6.4279,0.0000,-0.5236,-0.5236,0.0000,0.0000,0.1745,0.1745,0.0987,0.3840,221.1288,155.1267,161.4119,167.6812,149.3132,221.7391,221.7394,221.7391
0.0900,-0.8705,0.1623,0.4646,0.1814,-0.7717,0.6095,0.4574,0.6149,0.6424,-0.3007,-0.2115,-1.3287,346.1799,-130.4140,-377.8962,-168.6070,-55.3713,9.0102,25.5695,61.5438,-1.4131,-3.3639,-115.7744,160.4085,-284.0879,-5.1611,-317.9542,-136.8176,1.2250,56.2890,0.0654,0.0700,-44424.4981,-48081.4740,118749.2023,-7.6604,-6.4279,0.0000,0.1745,0.1745,0.0000,0.0000,-0.5236,-0.5236,0.0117,-0.3840,192.4394,195.4569,198.9960,202.9911,221.7391,221.7391,221.7393,221.7391
